"Pathogen","table_id","Food_category","Year","Serotype","Burden","Trajectory","Year_range","No_of_illnesses","Hospitalization(s)","Burden_sort_order","Trajectory_sort_order","Master_sort_order"
"Salmonella","Chicken_Schwarzengrund_2012-2016","Chicken","2,021","Schwarzengrund","No outbreak illnesses","Decreased","2012-2016","16",,"4","3","10"
"Salmonella","Chicken_Schwarzengrund_2017-2021","Chicken","2,021","Schwarzengrund","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Typhimurium_2012-2016","Pork","2,021","Typhimurium","High","Stable","2012-2016","331",,"1","2","2"
"Salmonella","Pork_Typhimurium_2017-2021","Pork","2,021","Typhimurium","High","Stable","2017-2021","184",,"1","2","2"
"Salmonella","Pork_I 4,[5],12:i:-_2012-2016","Pork","2,021","I 4,[5],12:i:-","High","Decreased","2012-2016","484",,"1","3","3"
"Salmonella","Pork_I 4,[5],12:i:-_2017-2021","Pork","2,021","I 4,[5],12:i:-","High","Decreased","2017-2021","165",,"1","3","3"
"Salmonella","Pork_Muenchen_2012-2016","Pork","2,021","Muenchen","High","Increased","2012-2016","0",,"1","1","1"
"Salmonella","Pork_Muenchen_2017-2021","Pork","2,021","Muenchen","High","Increased","2017-2021","99",,"1","1","1"
"Salmonella","Pork_Infantis_2012-2016","Pork","2,021","Infantis","Moderate","Increased","2012-2016","10",,"2","1","4"
"Salmonella","Pork_Infantis_2017-2021","Pork","2,021","Infantis","Moderate","Increased","2017-2021","85",,"2","1","4"
"Salmonella","Pork_Adelaide_2012-2016","Pork","2,021","Adelaide","Low","Increased","2012-2016","14",,"3","1","7"
"Salmonella","Pork_Adelaide_2017-2021","Pork","2,021","Adelaide","Low","Increased","2017-2021","48",,"3","1","7"
"Salmonella","Pork_Berta_2012-2016","Pork","2,021","Berta","Low","Increased","2012-2016","0",,"3","1","7"
"Salmonella","Pork_Berta_2017-2021","Pork","2,021","Berta","Low","Increased","2017-2021","30",,"3","1","7"
"Salmonella","Pork_Schwarzengrund_2012-2016","Pork","2,021","Schwarzengrund","Low","Increased","2012-2016","0",,"3","1","7"
"Salmonella","Pork_Schwarzengrund_2017-2021","Pork","2,021","Schwarzengrund","Low","Increased","2017-2021","30",,"3","1","7"
"Salmonella","Pork_Eastbourne_2012-2016","Pork","2,021","Eastbourne","Low","Increased","2012-2016","0",,"3","1","7"
