"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"1976","4","Pennsylvania","Water","Unknown",,"Suspected","Fee-based facility/membership club","30",,,"0",,,,,"Drinking water","Other",
"1976","4","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","4",,,"0",,,,,"Drinking water","Other",
"1976","5","Pennsylvania","Water","Unknown",,"Suspected","Fee-based facility/membership club","35",,,"0",,,,,"Drinking water","Other",
"1976","5","Washington","Water","Giardia duodenalis",,"Confirmed","Community/municipality","600",,,"0",,,,,"Drinking water","Community",
"1976","5","California","Water","Unknown",,"Suspected","Camp/cabin","60",,,"0",,,,,"Drinking water","Other",
"1976","5","California","Water","Unknown",,"Suspected","Resort","46",,,"0",,,,,"Drinking water","Community",
"1976","5","Colorado","Water","Unknown",,"Suspected","Restaurant","10",,,"0",,,,,"Drinking water","Other",
"1976","6","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","10",,,"0",,,,,"Drinking water","Other",
"1976","6","Pennsylvania","Water","Unknown",,"Suspected","School/college/university","26",,,"0",,,,,"Drinking water","Other",
"1976","6","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","5",,,"0",,,,,"Drinking water","Other",
"1976","6","Idaho","Water","Unknown",,"Suspected","Camp/cabin","100",,,"0",,,,,"Drinking water","Other",
"1976","6","Connecticut","Water","Unknown",,"Suspected","Fee-based facility/membership club","300",,,"0",,,,,"Drinking water","Other",
"1976","6","Colorado","Water","Giardia duodenalis",,"Confirmed","Camp/cabin","27",,,"0",,,,,"Drinking water","Other",
"1976","6","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","34",,,"0",,,,,"Drinking water","Other",
"1976","7","Pennsylvania","Water","Legionella unknown",,"Confirmed","Hotel/motel","182","145",,"29",,,,,"Undetermined water",,
"1976","7","Puerto Rico","Water","Shigella sonnei",,"Confirmed","Community/municipality","2,150",,,"0",,,,,"Drinking water","Community",
"1976","7","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","10",,,"0",,,,,"Drinking water","Other",
